"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1253","Nentershausen (KA)","7,9395","50,4260","286.0","https://cdc.dwd.de/rest/metadata/station/html/1768121843"
"19325","Sankt Goar-Biebernheim","7,7045","50,1482","220.0","https://cdc.dwd.de/rest/metadata/station/html/1771260380"
"19607","Cämmerswalde-Rauschenbach","13,4972","50,6952","615.0","https://cdc.dwd.de/rest/metadata/station/html/1771616668"
"19363","Treuchtlingen","10,9135","48,9532","409.0","https://cdc.dwd.de/rest/metadata/station/html/1793026240"
"19319","Anschau","7,0888","50,2891","340.0","https://cdc.dwd.de/rest/metadata/station/html/1804780500"
"19651","Sulzschneid","10,6434","47,7197","794.0","https://cdc.dwd.de/rest/metadata/station/html/181912072"
"2500","Kaltenborn, Hohe Acht","6,9896","50,3953","570.0","https://cdc.dwd.de/rest/metadata/station/html/1837449461"
"19669","Pleinfeld-Ramsberg","10,9264","49,1144","420.0","https://cdc.dwd.de/rest/metadata/station/html/1840033428"
"7491","Crailsheim/Jagst","10,0632","49,1540","395.0","https://cdc.dwd.de/rest/metadata/station/html/1847138097"
"5898","Ludwigsburg","9,2058","48,8943","287.0","https://cdc.dwd.de/rest/metadata/station/html/1868180519"
"19414","Ochtrup (Süd)","7,1962","52,1890","51.0","https://cdc.dwd.de/rest/metadata/station/html/1874606182"
"13779","Singhofen/Lahn","7,8199","50,2696","220.0","https://cdc.dwd.de/rest/metadata/station/html/1877429888"
"19657","Thalkirchdorf/Oberallgäu","10,0855","47,5569","745.0","https://cdc.dwd.de/rest/metadata/station/html/1882641576"
"19621","Eggenfelden/Rott","12,7770","48,4035","400.0","https://cdc.dwd.de/rest/metadata/station/html/1886724525"
"15527","Hohenleuben","12,0684","50,7231","309.0","https://cdc.dwd.de/rest/metadata/station/html/1887689613"
"14034","Riol","6,7833","49,8004","143.0","https://cdc.dwd.de/rest/metadata/station/html/1897218948"
"19606","Fürbuch","10,3632","48,1255","610.0","https://cdc.dwd.de/rest/metadata/station/html/1899864950"
